날짜,호선,역명,구분,아침 합계,낮 합계,저녁 합계
2020-06-06,7호선,뚝섬유원지,하차,694,5006,5025
2020-06-07,7호선,뚝섬유원지,승차,789,2243,5101
2020-06-07,7호선,뚝섬유원지,하차,521,3870,3722
2020-06-08,7호선,뚝섬유원지,승차,3195,1857,3234
2020-06-08,7호선,뚝섬유원지,하차,1161,2375,4914
2020-06-09,7호선,뚝섬유원지,승차,3240,1834,3127
2020-06-09,7호선,뚝섬유원지,하차,1170,2214,5033
2020-06-10,7호선,뚝섬유원지,승차,3188,1878,2032
2020-06-10,7호선,뚝섬유원지,하차,1206,2171,3665
2020-06-11,7호선,뚝섬유원지,승차,3152,1935,3170
2020-06-11,7호선,뚝섬유원지,하차,1210,2109,4951
2020-06-12,7호선,뚝섬유원지,승차,3145,1981,3672
2020-06-12,7호선,뚝섬유원지,하차,1159,2472,5622
2020-06-13,7호선,뚝섬유원지,승차,1305,2363,4233
2020-06-13,7호선,뚝섬유원지,하차,726,3098,3713
2020-06-14,7호선,뚝섬유원지,승차,819,2084,4138
2020-06-14,7호선,뚝섬유원지,하차,447,3008,3313
2020-06-15,7호선,뚝섬유원지,승차,3234,1929,3345
2020-06-15,7호선,뚝섬유원지,하차,1140,2336,5037
2020-06-16,7호선,뚝섬유원지,승차,3168,1919,3418
2020-06-16,7호선,뚝섬유원지,하차,1127,2389,5085
2020-06-17,7호선,뚝섬유원지,승차,3212,1952,3606
2020-06-17,7호선,뚝섬유원지,하차,1139,2477,5115
2020-06-18,7호선,뚝섬유원지,승차,3193,1979,3262
2020-06-18,7호선,뚝섬유원지,하차,1170,2351,4936
2020-06-19,7호선,뚝섬유원지,승차,3123,2068,4298
2020-06-19,7호선,뚝섬유원지,하차,1130,2635,6034
2020-06-20,7호선,뚝섬유원지,승차,1269,2762,6377
2020-06-20,7호선,뚝섬유원지,하차,801,4229,5663
2020-06-21,7호선,뚝섬유원지,승차,876,2173,4670
2020-06-21,7호선,뚝섬유원지,하차,515,3415,3547
2020-06-22,7호선,뚝섬유원지,승차,3259,1772,2701
2020-06-22,7호선,뚝섬유원지,하차,1208,1971,4729
2020-06-23,7호선,뚝섬유원지,승차,3203,1967,3172
2020-06-23,7호선,뚝섬유원지,하차,1221,2213,4876
2020-06-24,7호선,뚝섬유원지,승차,3070,1616,1416
2020-06-24,7호선,뚝섬유원지,하차,1072,1632,3291
2020-06-25,7호선,뚝섬유원지,승차,3134,1864,1895
2020-06-25,7호선,뚝섬유원지,하차,1163,1847,3611
2020-06-26,7호선,뚝섬유원지,승차,3032,2094,3663
2020-06-26,7호선,뚝섬유원지,하차,1161,2436,5333
2020-06-27,7호선,뚝섬유원지,승차,1266,2706,6020
2020-06-27,7호선,뚝섬유원지,하차,751,4104,5262
2020-06-28,7호선,뚝섬유원지,승차,859,2275,5088
2020-06-28,7호선,뚝섬유원지,하차,501,3504,3810
2020-06-29,7호선,뚝섬유원지,승차,3267,1996,1932
