지구별,주차장명,주차대수,이용시간,날짜,년도,월,일,휴일여부,1대당 평균 주차시간
PLT-005,뚝섬3주차장,299,29841.0,2024-07-16,2024,7,16,평일,99.80267558528428
PLT-005,뚝섬4주차장,585,57773.0,2024-07-15,2024,7,15,평일,98.75726495726495
PLT-005,뚝섬1주차장,219,19883.0,2024-07-15,2024,7,15,평일,90.78995433789954
PLT-005,뚝섬3주차장,512,69025.0,2024-07-15,2024,7,15,평일,134.814453125
PLT-005,뚝섬2주차장,587,67293.0,2024-07-15,2024,7,15,평일,114.63884156729131
PLT-005,뚝섬1주차장,337,31792.0,2024-07-14,2024,7,14,주말,94.33827893175074
PLT-005,뚝섬3주차장,792,114299.0,2024-07-14,2024,7,14,주말,144.3169191919192
PLT-005,뚝섬4주차장,1054,111354.0,2024-07-14,2024,7,14,주말,105.64895635673625
PLT-005,뚝섬2주차장,1458,201797.0,2024-07-14,2024,7,14,주말,138.40672153635117
PLT-005,뚝섬3주차장,879,113693.0,2024-07-13,2024,7,13,주말,129.34357224118315
PLT-005,뚝섬1주차장,405,36089.0,2024-07-13,2024,7,13,주말,89.10864197530864
PLT-005,뚝섬4주차장,1085,110648.0,2024-07-13,2024,7,13,주말,101.97972350230415
PLT-005,뚝섬2주차장,1526,198952.0,2024-07-13,2024,7,13,주말,130.3748361730013
PLT-005,뚝섬3주차장,539,52378.0,2024-07-12,2024,7,12,평일,97.17625231910947
PLT-005,뚝섬1주차장,210,14483.0,2024-07-12,2024,7,12,평일,68.96666666666667
PLT-005,뚝섬2주차장,725,80158.0,2024-07-12,2024,7,12,평일,110.56275862068965
PLT-005,뚝섬4주차장,758,71708.0,2024-07-12,2024,7,12,평일,94.60158311345647
PLT-005,뚝섬1주차장,219,16704.0,2024-07-11,2024,7,11,평일,76.27397260273973
PLT-005,뚝섬2주차장,612,71871.0,2024-07-11,2024,7,11,평일,117.43627450980392
PLT-005,뚝섬3주차장,434,47375.0,2024-07-11,2024,7,11,평일,109.1589861751152
PLT-005,뚝섬4주차장,704,68760.0,2024-07-11,2024,7,11,평일,97.67045454545455
PLT-005,뚝섬3주차장,422,41138.0,2024-07-10,2024,7,10,평일,97.48341232227489
PLT-005,뚝섬2주차장,548,66089.0,2024-07-10,2024,7,10,평일,120.60036496350365
PLT-005,뚝섬1주차장,177,11239.0,2024-07-10,2024,7,10,평일,63.49717514124294
PLT-005,뚝섬4주차장,629,66065.0,2024-07-10,2024,7,10,평일,105.03179650238474
PLT-005,뚝섬1주차장,162,11476.0,2024-07-09,2024,7,9,평일,70.8395061728395
PLT-005,뚝섬3주차장,269,24432.0,2024-07-09,2024,7,9,평일,90.82527881040892
PLT-005,뚝섬4주차장,512,54138.0,2024-07-09,2024,7,9,평일,105.73828125
PLT-005,뚝섬2주차장,468,64963.0,2024-07-09,2024,7,9,평일,138.80982905982907
PLT-005,뚝섬4주차장,354,41081.0,2024-07-08,2024,7,8,평일,116.04802259887006
PLT-005,뚝섬3주차장,232,18031.0,2024-07-08,2024,7,8,평일,77.71982758620689
PLT-005,뚝섬2주차장,353,55550.0,2024-07-08,2024,7,8,평일,157.3654390934844
PLT-005,뚝섬1주차장,111,7225.0,2024-07-08,2024,7,8,평일,65.09009009009009
PLT-005,뚝섬3주차장,548,78626.0,2024-07-07,2024,7,7,주말,143.47810218978103
PLT-005,뚝섬4주차장,799,83837.0,2024-07-07,2024,7,7,주말,104.92740926157697
PLT-005,뚝섬1주차장,326,33490.0,2024-07-07,2024,7,7,주말,102.73006134969326
PLT-005,뚝섬2주차장,1101,137173.0,2024-07-07,2024,7,7,주말,124.58946412352407
PLT-005,뚝섬4주차장,820,78108.0,2024-07-06,2024,7,6,주말,95.25365853658536
PLT-005,뚝섬3주차장,574,67048.0,2024-07-06,2024,7,6,주말,116.80836236933798
PLT-005,뚝섬1주차장,298,31889.0,2024-07-06,2024,7,6,주말,107.01006711409396
PLT-005,뚝섬2주차장,744,73365.0,2024-07-06,2024,7,6,주말,98.60887096774194
PLT-005,뚝섬1주차장,216,19217.0,2024-07-05,2024,7,5,평일,88.9675925925926
PLT-005,뚝섬4주차장,801,75876.0,2024-07-05,2024,7,5,평일,94.72659176029963
PLT-005,뚝섬2주차장,737,78919.0,2024-07-05,2024,7,5,평일,107.08141112618725
PLT-005,뚝섬3주차장,443,42846.0,2024-07-05,2024,7,5,평일,96.71783295711062
PLT-005,뚝섬4주차장,550,61850.0,2024-07-04,2024,7,4,평일,112.45454545454545
PLT-005,뚝섬1주차장,171,11994.0,2024-07-04,2024,7,4,평일,70.14035087719299
PLT-005,뚝섬3주차장,340,34648.0,2024-07-04,2024,7,4,평일,101.90588235294118
PLT-005,뚝섬2주차장,463,59256.0,2024-07-04,2024,7,4,평일,127.98272138228941
PLT-005,뚝섬2주차장,555,63682.0,2024-07-03,2024,7,3,평일,114.74234234234234
PLT-005,뚝섬1주차장,206,19733.0,2024-07-03,2024,7,3,평일,95.79126213592232
PLT-005,뚝섬4주차장,611,66395.0,2024-07-03,2024,7,3,평일,108.66612111292963
PLT-005,뚝섬3주차장,358,35130.0,2024-07-03,2024,7,3,평일,98.12849162011173
PLT-005,뚝섬4주차장,404,47826.0,2024-07-02,2024,7,2,평일,118.38118811881188
