주차장명,주차대수,이용시간,code,월,일,휴일여부,평균기온(°C),일반이용자(아침),일반이용자(낮),일반이용자(저녁),비
여의도1주차장,324,1.8186213991769549,8,4,3,1,14.9,24835.25,74430.0,84935.0,1
뚝섬4주차장,516,1.1698966408268734,5,4,3,1,14.9,2020.0,41099.0,48128.0,1
"양화3,4,5주차장",859,0.9804035700426852,7,4,3,1,14.9,21030.0,247140.0,179140.0,1
광나루3주차장,443,1.1512791572610983,6,4,3,1,14.9,3140.0,32610.0,40095.0,1
반포1주차장,884,0.6957956259426848,9,4,3,1,14.9,3295.0,35989.0,41601.0,1
여의도2주차장,82,0.5331300813008131,8,4,3,1,14.9,24835.25,74430.0,84935.0,1
"잠실1,2,3,4주차장",1937,1.0607812768886593,11,4,3,1,14.9,7755.0,70390.0,77921.0,1
이촌2주차장,277,1.0639590854392298,4,4,3,1,14.9,8380.0,68840.0,46870.0,1
여의도5주차장,181,2.5331491712707184,8,4,3,1,14.9,24835.25,74430.0,84935.0,1
잠원1-6주차장,2493,1.3039510629763338,10,4,3,1,14.9,10549.0,41196.0,49686.0,1
이촌1주차장,75,0.8355555555555555,4,4,3,1,14.9,8380.0,68840.0,46870.0,1
강서1주차장,141,0.8539007092198582,1,4,3,1,14.9,12315.0,52830.0,33690.0,1
양화1주차장,431,1.462799690641918,7,4,2,0,17.8,21030.0,247140.0,179140.0,0
"난지1,2,3주차장",2133,0.6095405532114393,2,4,2,0,17.8,20548.0,118638.0,103058.0,0
강서1주차장,234,1.3040598290598289,1,4,2,0,17.8,12315.0,52830.0,33690.0,0
이촌2주차장,311,1.3713826366559485,4,4,2,0,17.8,8380.0,68840.0,46870.0,0
"망원2,3주차장",959,1.4130344108446298,3,4,2,0,17.8,75280.0,341280.0,241110.0,0
여의도2주차장,1993,1.707509616992808,8,4,2,0,17.8,24835.25,74430.0,84935.0,0
여의도1주차장,4022,1.7132355378750206,8,4,2,0,17.8,24835.25,74430.0,84935.0,0
"반포2,3주차장",2680,1.0305037313432837,9,4,2,0,17.8,3295.0,35989.0,41601.0,0
여의도3주차장,1698,3.5043188064389477,8,4,2,0,17.8,24835.25,74430.0,84935.0,0
여의도5주차장,357,5.313445378151261,8,4,2,0,17.8,24835.25,74430.0,84935.0,0
여의도4주차장,244,5.21113387978142,8,4,2,0,17.8,24835.25,74430.0,84935.0,0
"광나루1,2주차장",968,1.1271866391184573,6,4,2,0,17.8,3140.0,32610.0,40095.0,0
"양화3,4,5주차장",1370,1.2549026763990268,7,4,2,0,17.8,21030.0,247140.0,179140.0,0
뚝섬2주차장,966,1.5704278812974466,5,4,2,0,17.8,2020.0,41099.0,48128.0,0
광나루3주차장,693,0.8018278018278018,6,4,2,0,17.8,3140.0,32610.0,40095.0,0
뚝섬1주차장,204,1.094281045751634,5,4,2,0,17.8,2020.0,41099.0,48128.0,0
잠원1-6주차장,3458,1.398631193368035,10,4,2,0,17.8,10549.0,41196.0,49686.0,0
반포1주차장,1157,0.8494814174589456,9,4,2,0,17.8,3295.0,35989.0,41601.0,0
뚝섬4주차장,882,1.3702758881330308,5,4,2,0,17.8,2020.0,41099.0,48128.0,0
망원1주차장,415,1.4077108433734942,3,4,2,0,17.8,75280.0,341280.0,241110.0,0
양화2주차장,94,1.7593971631205674,7,4,2,0,17.8,21030.0,247140.0,179140.0,0
뚝섬3주차장,530,1.2432075471698112,5,4,2,0,17.8,2020.0,41099.0,48128.0,0
"이촌3,4주차장",980,1.3600510204081633,4,4,2,0,17.8,8380.0,68840.0,46870.0,0
"잠실1,2,3,4주차장",3573,1.0481388189196754,11,4,2,0,17.8,7755.0,70390.0,77921.0,0
이촌1주차장,98,1.377891156462585,4,4,2,0,17.8,8380.0,68840.0,46870.0,0
이촌1주차장,98,0.8892857142857143,4,4,1,0,17.7,8380.0,68840.0,46870.0,0
강서1주차장,203,1.3114121510673231,1,4,1,0,17.7,12315.0,52830.0,33690.0,0
뚝섬3주차장,492,1.388109756097561,5,4,1,0,17.7,2020.0,41099.0,48128.0,0
뚝섬2주차장,764,1.656544502617801,5,4,1,0,17.7,2020.0,41099.0,48128.0,0
뚝섬4주차장,829,1.50589063128267,5,4,1,0,17.7,2020.0,41099.0,48128.0,0
"망원2,3주차장",897,1.5238015607580824,3,4,1,0,17.7,75280.0,341280.0,241110.0,0
이촌2주차장,304,1.0917763157894735,4,4,1,0,17.7,8380.0,68840.0,46870.0,0
여의도4주차장,278,4.750599520383694,8,4,1,0,17.7,24835.25,74430.0,84935.0,0
양화1주차장,409,1.4799511002444987,7,4,1,0,17.7,21030.0,247140.0,179140.0,0
광나루3주차장,724,0.8609346224677717,6,4,1,0,17.7,3140.0,32610.0,40095.0,0
잠원1-6주차장,3736,1.3987330478229836,10,4,1,0,17.7,10549.0,41196.0,49686.0,0
"양화3,4,5주차장",1240,1.4090994623655917,7,4,1,0,17.7,21030.0,247140.0,179140.0,0
"잠실1,2,3,4주차장",3426,1.0064263475384316,11,4,1,0,17.7,7755.0,70390.0,77921.0,0
여의도2주차장,2038,1.7596172718351324,8,4,1,0,17.7,24835.25,74430.0,84935.0,0
"이촌3,4주차장",1046,1.2997131931166348,4,4,1,0,17.7,8380.0,68840.0,46870.0,0
여의도3주차장,1996,3.342184368737475,8,4,1,0,17.7,24835.25,74430.0,84935.0,0
여의도5주차장,414,5.049114331723028,8,4,1,0,17.7,24835.25,74430.0,84935.0,0
"반포2,3주차장",2654,1.1186762120070337,9,4,1,0,17.7,3295.0,35989.0,41601.0,0
양화2주차장,98,1.5081632653061223,7,4,1,0,17.7,21030.0,247140.0,179140.0,0
망원1주차장,411,1.4011759935117598,3,4,1,0,17.7,75280.0,341280.0,241110.0,0
"난지1,2,3주차장",2209,0.7321865097329109,2,4,1,0,17.7,20548.0,118638.0,103058.0,0
"광나루1,2주차장",943,1.1517143867090844,6,4,1,0,17.7,3140.0,32610.0,40095.0,0
반포1주차장,1054,1.0469797596457937,9,4,1,0,17.7,3295.0,35989.0,41601.0,0
뚝섬1주차장,186,1.1474014336917562,5,4,1,0,17.7,2020.0,41099.0,48128.0,0
여의도1주차장,3856,1.8615966459197784,8,4,1,0,17.7,24835.25,74430.0,84935.0,0
"난지1,2,3주차장",1993,0.7087556447566482,2,3,31,0,14.5,22480.0,117201.0,91541.0,0
"광나루1,2주차장",994,1.161955063715627,6,3,31,0,14.5,3710.0,36553.0,42075.0,0
양화1주차장,375,1.663288888888889,7,3,31,0,14.5,15620.0,123441.0,104300.0,0
"잠실1,2,3,4주차장",3489,0.9935129454475972,11,3,31,0,14.5,10360.0,83169.0,101215.0,0
"망원2,3주차장",840,1.37609126984127,3,3,31,0,14.5,65600.0,309106.0,237800.0,0
"양화3,4,5주차장",1440,1.2763194444444446,7,3,31,0,14.5,15620.0,123441.0,104300.0,0
"반포2,3주차장",2360,1.215861581920904,9,3,31,0,14.5,4524.0,39392.0,35456.0,0
강서1주차장,218,1.223012232415902,1,3,31,0,14.5,11210.0,54244.0,34420.0,0
뚝섬1주차장,190,0.9659649122807016,5,3,31,0,14.5,880.0,36167.0,33192.0,0
광나루3주차장,732,0.9646402550091074,6,3,31,0,14.5,3710.0,36553.0,42075.0,0
뚝섬4주차장,757,1.6462571554381331,5,3,31,0,14.5,880.0,36167.0,33192.0,0
여의도1주차장,3930,1.850763358778626,8,3,31,0,14.5,12495.5,52391.0,82342.0,0
잠원1-6주차장,3464,1.4524441878367975,10,3,31,0,14.5,7919.0,42320.0,44682.0,0
뚝섬2주차장,799,1.9182311222361288,5,3,31,0,14.5,880.0,36167.0,33192.0,0
여의도3주차장,2336,3.085516552511415,8,3,31,0,14.5,12495.5,52391.0,82342.0,0
여의도5주차장,349,5.665759312320916,8,3,31,0,14.5,12495.5,52391.0,82342.0,0
양화2주차장,73,1.882648401826484,7,3,31,0,14.5,15620.0,123441.0,104300.0,0
반포1주차장,935,1.0677361853832443,9,3,31,0,14.5,4524.0,39392.0,35456.0,0
망원1주차장,392,1.362329931972789,3,3,31,0,14.5,65600.0,309106.0,237800.0,0
이촌2주차장,341,1.2799120234604104,4,3,31,0,14.5,5730.0,38823.0,45950.0,0
"이촌3,4주차장",963,1.4579612322602975,4,3,31,0,14.5,5730.0,38823.0,45950.0,0
여의도4주차장,344,3.836627906976744,8,3,31,0,14.5,12495.5,52391.0,82342.0,0
여의도2주차장,2034,1.8206161914126515,8,3,31,0,14.5,12495.5,52391.0,82342.0,0
이촌1주차장,92,1.426268115942029,4,3,31,0,14.5,5730.0,38823.0,45950.0,0
뚝섬3주차장,442,1.4322775263951737,5,3,31,0,14.5,880.0,36167.0,33192.0,0
"난지1,2,3주차장",1951,0.6014778745942252,2,3,30,0,10.8,22480.0,117201.0,91541.0,0
"잠실1,2,3,4주차장",3024,0.8714671516754849,11,3,30,0,10.8,10360.0,83169.0,101215.0,0
뚝섬2주차장,598,1.9307692307692303,5,3,30,0,10.8,880.0,36167.0,33192.0,0
여의도2주차장,1828,1.9033369803063456,8,3,30,0,10.8,12495.5,52391.0,82342.0,0
여의도5주차장,395,5.306708860759494,8,3,30,0,10.8,12495.5,52391.0,82342.0,0
반포1주차장,810,0.9276954732510287,9,3,30,0,10.8,4524.0,39392.0,35456.0,0
여의도1주차장,3275,1.8665139949109413,8,3,30,0,10.8,12495.5,52391.0,82342.0,0
"망원2,3주차장",643,1.3346293416277863,3,3,30,0,10.8,65600.0,309106.0,237800.0,0
"반포2,3주차장",2026,1.052122408687068,9,3,30,0,10.8,4524.0,39392.0,35456.0,0
여의도3주차장,1992,3.713127510040161,8,3,30,0,10.8,12495.5,52391.0,82342.0,0
잠원1-6주차장,2772,1.4935064935064934,10,3,30,0,10.8,7919.0,42320.0,44682.0,0
망원1주차장,293,1.6088168373151308,3,3,30,0,10.8,65600.0,309106.0,237800.0,0
뚝섬3주차장,319,1.265987460815047,5,3,30,0,10.8,880.0,36167.0,33192.0,0
이촌1주차장,67,1.7323383084577113,4,3,30,0,10.8,5730.0,38823.0,45950.0,0
광나루3주차장,663,0.7328305681246858,6,3,30,0,10.8,3710.0,36553.0,42075.0,0
"양화3,4,5주차장",1067,1.261668228678538,7,3,30,0,10.8,15620.0,123441.0,104300.0,0
양화2주차장,90,1.341851851851852,7,3,30,0,10.8,15620.0,123441.0,104300.0,0
여의도4주차장,268,5.14384328358209,8,3,30,0,10.8,12495.5,52391.0,82342.0,0
뚝섬4주차장,640,1.559583333333333,5,3,30,0,10.8,880.0,36167.0,33192.0,0
강서1주차장,165,1.4454545454545455,1,3,30,0,10.8,11210.0,54244.0,34420.0,0
"광나루1,2주차장",746,1.155495978552279,6,3,30,0,10.8,3710.0,36553.0,42075.0,0
양화1주차장,409,1.802607986960065,7,3,30,0,10.8,15620.0,123441.0,104300.0,0
뚝섬1주차장,187,1.1197860962566846,5,3,30,0,10.8,880.0,36167.0,33192.0,0
"이촌3,4주차장",894,1.51696495152871,4,3,30,0,10.8,5730.0,38823.0,45950.0,0
이촌2주차장,249,1.0569611780455157,4,3,30,0,10.8,5730.0,38823.0,45950.0,0
"난지1,2,3주차장",1645,0.5516413373860183,2,3,29,0,10.2,22480.0,117201.0,91541.0,1
여의도3주차장,1412,4.938090179414542,8,3,29,0,10.2,12495.5,52391.0,82342.0,1
광나루3주차장,649,0.8227529532614278,6,3,29,0,10.2,3710.0,36553.0,42075.0,1
뚝섬1주차장,149,1.4700223713646532,5,3,29,0,10.2,880.0,36167.0,33192.0,1
이촌2주차장,167,1.215568862275449,4,3,29,0,10.2,5730.0,38823.0,45950.0,1
양화2주차장,56,1.8285714285714287,7,3,29,0,10.2,15620.0,123441.0,104300.0,1
이촌1주차장,66,1.6664141414141411,4,3,29,0,10.2,5730.0,38823.0,45950.0,1
"반포2,3주차장",1584,1.0855008417508418,9,3,29,0,10.2,4524.0,39392.0,35456.0,1
여의도1주차장,2258,2.2075952170062,8,3,29,0,10.2,12495.5,52391.0,82342.0,1
여의도2주차장,1145,2.525327510917031,8,3,29,0,10.2,12495.5,52391.0,82342.0,1
망원1주차장,240,1.4938194444444444,3,3,29,0,10.2,65600.0,309106.0,237800.0,1
반포1주차장,661,1.0432425617750882,9,3,29,0,10.2,4524.0,39392.0,35456.0,1
양화1주차장,238,1.7710084033613445,7,3,29,0,10.2,15620.0,123441.0,104300.0,1
뚝섬4주차장,504,1.504232804232804,5,3,29,0,10.2,880.0,36167.0,33192.0,1
강서1주차장,143,1.1853146853146854,1,3,29,0,10.2,11210.0,54244.0,34420.0,1
"양화3,4,5주차장",748,1.327584670231729,7,3,29,0,10.2,15620.0,123441.0,104300.0,1
여의도5주차장,344,6.067248062015503,8,3,29,0,10.2,12495.5,52391.0,82342.0,1
뚝섬3주차장,270,1.6338888888888887,5,3,29,0,10.2,880.0,36167.0,33192.0,1
뚝섬2주차장,582,1.951660939289805,5,3,29,0,10.2,880.0,36167.0,33192.0,1
"망원2,3주차장",439,1.4720956719817768,3,3,29,0,10.2,65600.0,309106.0,237800.0,1
"잠실1,2,3,4주차장",2816,0.8801550662878789,11,3,29,0,10.2,10360.0,83169.0,101215.0,1
"광나루1,2주차장",539,1.3183364254792826,6,3,29,0,10.2,3710.0,36553.0,42075.0,1
잠원1-6주차장,2304,1.6655598958333333,10,3,29,0,10.2,7919.0,42320.0,44682.0,1
여의도4주차장,249,6.073360107095047,8,3,29,0,10.2,12495.5,52391.0,82342.0,1
"이촌3,4주차장",739,1.5541497519170049,4,3,29,0,10.2,5730.0,38823.0,45950.0,1
